"activity"	"subject"	"tBodyAccmeanX"	"tBodyAccmeanY"	"tBodyAccmeanZ"	"tBodyAccstdX"	"tBodyAccstdY"	"tBodyAccstdZ"	"tGravityAccmeanX"	"tGravityAccmeanY"	"tGravityAccmeanZ"	"tGravityAccstdX"	"tGravityAccstdY"	"tGravityAccstdZ"	"tBodyAccJerkmeanX"	"tBodyAccJerkmeanY"	"tBodyAccJerkmeanZ"	"tBodyAccJerkstdX"	"tBodyAccJerkstdY"	"tBodyAccJerkstdZ"	"tBodyGyromeanX"	"tBodyGyromeanY"	"tBodyGyromeanZ"	"tBodyGyrostdX"	"tBodyGyrostdY"	"tBodyGyrostdZ"	"tBodyGyroJerkmeanX"	"tBodyGyroJerkmeanY"	"tBodyGyroJerkmeanZ"	"tBodyGyroJerkstdX"	"tBodyGyroJerkstdY"	"tBodyGyroJerkstdZ"	"tBodyAccMagmean"	"tBodyAccMagstd"	"tGravityAccMagmean"	"tGravityAccMagstd"	"tBodyAccJerkMagmean"	"tBodyAccJerkMagstd"	"tBodyGyroMagmean"	"tBodyGyroMagstd"	"tBodyGyroJerkMagmean"	"tBodyGyroJerkMagstd"	"fBodyAccmeanX"	"fBodyAccmeanY"	"fBodyAccmeanZ"	"fBodyAccstdX"	"fBodyAccstdY"	"fBodyAccstdZ"	"fBodyAccmeanFreqX"	"fBodyAccmeanFreqY"	"fBodyAccmeanFreqZ"	"fBodyAccJerkmeanX"	"fBodyAccJerkmeanY"	"fBodyAccJerkmeanZ"	"fBodyAccJerkstdX"	"fBodyAccJerkstdY"	"fBodyAccJerkstdZ"	"fBodyAccJerkmeanFreqX"	"fBodyAccJerkmeanFreqY"	"fBodyAccJerkmeanFreqZ"	"fBodyGyromeanX"	"fBodyGyromeanY"	"fBodyGyromeanZ"	"fBodyGyrostdX"	"fBodyGyrostdY"	"fBodyGyrostdZ"	"fBodyGyromeanFreqX"	"fBodyGyromeanFreqY"	"fBodyGyromeanFreqZ"	"fBodyAccMagmean"	"fBodyAccMagstd"	"fBodyAccMagmeanFreq"	"fBodyBodyAccJerkMagmean"	"fBodyBodyAccJerkMagstd"	"fBodyBodyAccJerkMagmeanFreq"	"fBodyBodyGyroMagmean"	"fBodyBodyGyroMagstd"	"fBodyBodyGyroMagmeanFreq"	"fBodyBodyGyroJerkMagmean"	"fBodyBodyGyroJerkMagstd"	"fBodyBodyGyroJerkMagmeanFreq"
"1"	"LAYING"	"1"	0.25244656087	-0.0291809290097	-0.11033657536	-0.8911643405	-0.803553793754	-0.846529930114	-0.17295430014	0.57332681053	0.46446999319	-0.9329498004	-0.94635316948	-0.91813697091	0.0776938059705	0.0140189700114	0.0091188984465	-0.888943620846	-0.837659339424	-0.9251563522	-0.0212981316414	-0.080335549344	0.13095219664	-0.87802923481	-0.9161762523	-0.8786419768	-0.105622642196	-0.038480027614	-0.069652687597	-0.8724471861	-0.9272468112	-0.8970252859	-0.83290661035	-0.82414694713	-0.83290661035	-0.82414694713	-0.88754578224	-0.85977208822	-0.8551913759	-0.84260140738	-0.9164462662	-0.8991742829	-0.8904479126	-0.81313335317	-0.877221612	-0.8921885612	-0.81217785022	-0.84362845482	-0.134159262474	0.167520249953	0.19662423242	-0.8917493159	-0.84846715733	-0.918974697	-0.89622813647	-0.83762489008	-0.9302216728	0.143080783609	0.033569203024	0.04795927171	-0.847306468393	-0.9159613628	-0.8677437196	-0.8885297588	-0.9172344875	-0.8940658621	0.042768355714	-0.022918116328	0.057516817131	-0.84576849565	-0.8448716306	0.18326414922	-0.86606181394	-0.8520541133	0.3213841179	-0.8623118159	-0.85969965314	-0.01199307127	-0.9098648165	-0.8934033041	0.21555652825
"2"	"SITTING"	"1"	0.268996812393617	-0.009299398445	-0.1062534185	-0.920194743510638	-0.84697170706383	-0.900513057234043	0.708675220744681	0.113601630702128	0.298901904968085	-0.971550044680851	-0.954680814468085	-0.960669872553191	0.0788685293617021	0.00205122634457447	-0.000233030035319149	-0.913122895957447	-0.87355049941383	-0.942054441808511	-0.0450131775606383	-0.080409411812766	0.0811248386595745	-0.935986684787234	-0.928575202340426	-0.898839757553191	-0.0910286825319149	-0.0420978401	-0.0492811791595745	-0.920085214255319	-0.946901320531915	-0.922914513829787	-0.889096488085106	-0.886848848510638	-0.889096488085106	-0.886848848510638	-0.911294160106383	-0.894618152531915	-0.88727307393617	-0.902891519255319	-0.939742247234043	-0.935557115957447	-0.91338504	-0.851843632176596	-0.912633304468085	-0.923303962553191	-0.854884014255319	-0.9020635	-0.0324681927504255	0.118352952635106	0.220475175281915	-0.91518767712766	-0.879282204840426	-0.936290943723404	-0.918893789574468	-0.875990122101064	-0.946488729680851	0.225196673048255	0.00752028953531915	0.0956593013191489	-0.915694162978723	-0.932804975	-0.893332957446809	-0.942776106595745	-0.927267917340426	-0.910620393723404	0.147424087949574	-0.0278771810787234	0.00871539994468085	-0.887609432659574	-0.905502494468085	0.240102599237234	-0.892324609680851	-0.89728036756383	0.307595501138298	-0.914640259893617	-0.91425618106383	0.0167988309617021	-0.939719019148936	-0.934637171489362	0.190540259467021
"3"	"STANDING"	"1"	0.277802853018868	-0.0164975920301887	-0.107986397962264	-0.989324288867925	-0.960527489056604	-0.964128958113208	0.925336063584906	-0.260955668933434	0.0984806392084906	-0.985686394339623	-0.970088058207547	-0.96079671	0.0735893158113207	0.0101905920263208	-0.00108099944081132	-0.98753067745283	-0.977910457358491	-0.987177485377358	-0.0294498332	-0.0649622656415094	0.0671736651943396	-0.981402336320755	-0.978483914433962	-0.968805271132075	-0.100806672754717	-0.0435913040943396	-0.0491033689669811	-0.987147830566038	-0.989085815660377	-0.982760509716981	-0.973203631792453	-0.963780733584906	-0.973203631792453	-0.963780733584906	-0.986330278396226	-0.983874258679245	-0.961308765471698	-0.964002515660377	-0.989653307264151	-0.985936256132075	-0.98761186990566	-0.964281916415094	-0.973132015188679	-0.990273390471698	-0.960526291415094	-0.961707422641509	0.0906939404440566	0.128830625428208	0.186360463929245	-0.987395375471698	-0.977473110471698	-0.984938291226415	-0.988889514150943	-0.98014468509434	-0.988043615566038	0.314445456698113	0.0175020064858491	0.0844425724009434	-0.978243225849057	-0.980025805377359	-0.966844080943396	-0.982490586792453	-0.977834098773585	-0.972434780754717	-0.0606835695377358	-0.0881402959188679	0.0723441897216038	-0.969485705283019	-0.965903251509434	0.212461309873585	-0.983855550943396	-0.982767278679245	0.325302988149057	-0.971823190943396	-0.96517724245283	-0.0437435837692453	-0.986272764245283	-0.986211337641509	0.249689553443396
"4"	"WALKING"	"1"	0.276001375626316	-0.0205363235493684	-0.114390347210526	-0.245564766273684	0.101947220184211	-0.275528268710526	0.903439583105263	-0.317539535210526	-0.0105226813252632	-0.965266386842105	-0.960592493842105	-0.944103187947368	0.0770387313461579	0.0184904682978947	-0.000164507064736843	-0.115802888858947	0.0346497948910526	-0.50742632	-0.0616838175341053	-0.0474245895636842	0.0791511054921053	-0.469397336844211	-0.267202476540263	-0.368682113463158	-0.0790168096721053	-0.0432084352168421	-0.0513825785089474	-0.291809042536842	-0.448908098747368	-0.389676933339474	-0.126233110434211	-0.174565314070526	-0.126233110434211	-0.174565314070526	-0.165414035397368	-0.0526216479596842	-0.240944591368421	-0.304071239684211	-0.410609684647368	-0.413705216731579	-0.172183238733158	0.0962625559657368	-0.331307656884211	-0.277941099076842	0.0333358687224737	-0.303533080818421	-0.227156847007895	0.0903732997694737	0.0341726627068947	-0.148351517858474	-0.0339212670549526	-0.466206216663158	-0.162764885194737	0.0386222364258947	-0.547374431631579	-0.159470849563684	-0.350822778315789	-0.227069726701053	-0.333870236216316	-0.290353766838421	-0.26711499354	-0.513725370289474	-0.261209650315263	-0.465366192473684	-0.0121126500463158	-0.0565418154952632	0.0553410646974211	-0.0872290069421053	-0.357917010905789	0.195329858124737	-0.0431576304324211	-0.072476912711579	0.0870391061834737	-0.323030532108947	-0.414405715221053	0.201706218542789	-0.422783272705263	-0.444616815236842	0.105838482863316
"5"	"WALKING_DOWNSTAIRS"	"1"	0.271707801153061	-0.0085573778755102	-0.117883862086735	-0.234858963581929	-0.149941965916327	-0.290175145230612	0.882501635102041	-0.22009301849898	-0.0880784841112245	-0.951220519183673	-0.939023318673469	-0.89140664994898	0.0701767303979592	0.00913632245459184	-0.0180683786759184	-0.233600717772449	-0.268919271016327	-0.509407834632653	-0.0433661889556122	-0.0724504636479592	0.0951705450913265	-0.532149587795918	-0.379899002979592	-0.280014336688776	-0.0790759776492857	-0.0477953994020408	-0.0361934378755102	-0.555790265816327	-0.493819615908163	-0.443280771958163	-0.173770759988571	-0.191462890564286	-0.173770759988571	-0.191462890564286	-0.296552158664286	-0.222750742313265	-0.259600972068673	-0.400797700153061	-0.496098756571429	-0.511960152867347	-0.216388190397959	-0.154394050663673	-0.345981567989796	-0.244107625859184	-0.203849580442857	-0.319229939027551	-0.215916705016327	0.0550110681	0.0914736911347551	-0.239344644061224	-0.282148237341837	-0.459794836081633	-0.298696993843571	-0.306791786142857	-0.55835531255102	-0.092950193122449	-0.258516125921429	-0.0823669781	-0.440900556487755	-0.348104537459184	-0.247579651976531	-0.563947231520408	-0.407542057797959	-0.360228004642857	-0.0656302237571428	-0.0746160380693878	-0.0665138282459184	-0.138524508842857	-0.350651132189796	0.114323608913571	-0.190353584740816	-0.272387380761224	0.101242757873469	-0.404885659607143	-0.508214257306122	0.1443403859	-0.499879802752041	-0.564450936877551	0.151537539898878
"6"	"WALKING_UPSTAIRS"	"1"	0.264493067132075	-0.0223857750387736	-0.106289797132075	-0.625982134339623	-0.38822205104434	-0.390750690338679	0.888626838018868	-0.286952779301887	0.00187108616037736	-0.966107257075472	-0.951675089528302	-0.920574638396226	0.0883373816589623	0.00808545990034906	-0.025258544194717	-0.661925650867925	-0.616890625	-0.801404136792453	0.00785270683075472	-0.120741423261321	0.0773703394254717	-0.693626076603774	-0.447228272157547	-0.646437640971698	-0.113853983533962	-0.0391897148745283	-0.0502736926016038	-0.747987607264151	-0.761612604811321	-0.754626349622642	-0.473575856084906	-0.577533857075472	-0.473575856084906	-0.577533857075472	-0.670223376886792	-0.670301792679245	-0.468948891116981	-0.485632143366038	-0.753024718113208	-0.778623254056604	-0.645320364339623	-0.499472082358491	-0.624918845978302	-0.619764323207547	-0.374933672445283	-0.333179624241509	-0.203174541401698	-0.110182165785849	-0.284387295751887	-0.678892314433962	-0.636136635188679	-0.78619635009434	-0.674652200471698	-0.621986810188679	-0.81507383490566	-0.0761151597641509	-0.326414604608491	-0.280447759977358	-0.65743862295283	-0.608036103301887	-0.638355584358491	-0.707897419528302	-0.374711968254717	-0.683312256	-0.204122360886792	-0.360320803995283	-0.140100963870755	-0.593442702179245	-0.635228561886792	-0.0558350858339623	-0.650905376584906	-0.698957936209434	0.169073856562264	-0.590964594169811	-0.507541784792453	-0.214336968897736	-0.772411952924528	-0.803448945754717	0.106481646582075
"7"	"LAYING"	"3"	0.2742768825	-0.0177962855659677	-0.104471997567742	-0.54808978968871	-0.559212729674113	-0.709944757903226	0.354525783387097	0.364016395892742	0.310997352854839	-0.97090430483871	-0.959400141290323	-0.954050845967742	0.0804807548475806	0.0105357165717742	-0.0102405145483911	-0.604395163111371	-0.57140377781129	-0.820877837983871	-0.0345986997173387	-0.0755060922016129	0.10146787518871	-0.693838960145161	-0.81047358516129	-0.731492250322581	-0.104339297826613	-0.0397853809	-0.0626537931516129	-0.705580292177419	-0.900994855725806	-0.703718543362903	-0.542065681691129	-0.576993275145161	-0.542065681691129	-0.576993275145161	-0.631919209263145	-0.630544376217742	-0.653335110774194	-0.701985752282258	-0.803983450483871	-0.828241741854839	-0.582579752903226	-0.539787005902419	-0.74409851516129	-0.536787367222581	-0.599619564585484	-0.715253665564516	-0.204680443299194	0.189300141708871	0.0849800902501452	-0.61904404211129	-0.585512481715806	-0.801387929435484	-0.625619598131452	-0.586335572462097	-0.839251299435484	-0.0207420848629032	-0.138275818492742	-0.0948210994145161	-0.627090065037097	-0.838018019193548	-0.664126089	-0.716297921395161	-0.798580667741935	-0.784154796048387	-0.108257788112097	-0.141983867377419	0.184368035335323	-0.563518173974194	-0.65186038591129	0.170663622308871	-0.613736726089516	-0.656377272064516	0.158153367715323	-0.729455563064516	-0.736124355403226	0.00158648702258065	-0.822745956129032	-0.848627838225806	0.128332295695968
"8"	"SITTING"	"3"	0.269901519855769	-0.00885847046875	-0.104364162096154	-0.713303657053846	-0.523926563165385	-0.748262086538461	0.851265749230769	0.0808731286325962	0.151987074211538	-0.96894410375	-0.934219081923077	-0.928079289711538	0.0753235898653846	0.00279758031923077	-0.00334774499586539	-0.666513340403846	-0.626623953989423	-0.873687894903846	-0.0438874777442308	-0.0741645833663462	0.0843445751351923	-0.753468752884615	-0.825418237403846	-0.809095173269231	-0.109862660223077	-0.0355679502730769	-0.0544856479400962	-0.760698919038462	-0.907209389423077	-0.8138983775	-0.628642137261539	-0.699088946932692	-0.628642137261539	-0.699088946932692	-0.697439122307692	-0.6720894995	-0.728647765996154	-0.755009562576923	-0.846256777788462	-0.866835201826923	-0.710051474942308	-0.565280942504808	-0.788698498557692	-0.715254057625	-0.534521861972212	-0.747232472403846	-0.0757928482	0.0333464594317308	-0.00510964924615385	-0.692155661730769	-0.650900459740385	-0.860463408942308	-0.670368345932692	-0.625549644990385	-0.885639291442308	0.04870235080875	-0.196835862439423	-0.152937812982019	-0.69726171375	-0.84394008375	-0.781619703076923	-0.77219257375	-0.816555398173077	-0.837629594326923	-0.0532525507394231	-0.251181591503846	0.0762671225336538	-0.681241292576923	-0.760551807884615	0.181904503615385	-0.6722504515	-0.673726293817308	0.211740597660192	-0.793628808759615	-0.7730097545	-0.0512514273964423	-0.864540444519231	-0.87937749625	0.170271287811538
"9"	"STANDING"	"3"	0.275963111713115	-0.0147510584213115	-0.10664209082477	-0.931337183770492	-0.861513027058197	-0.915558327295082	0.426887407131148	0.191505959002825	0.152896612310656	-0.966442537213115	-0.966620913196721	-0.951655706967213	0.0807704335318852	0.00928855263887705	-0.00523547885770492	-0.92346385204918	-0.896796986311475	-0.964684348032787	-0.0205562289317213	-0.0752614768590164	0.103831732368852	-0.906172148196721	-0.92618246557377	-0.92000292795082	-0.10127613945082	-0.0421913995229508	-0.0532340339590164	-0.92618658942623	-0.967176613360656	-0.95051175295082	-0.900311313770492	-0.904688205491803	-0.900311313770492	-0.904688205491803	-0.925914341885246	-0.916584226639344	-0.887279811393443	-0.890479945737705	-0.954470561885246	-0.954700055819672	-0.92994734442623	-0.874583724393443	-0.934240326803279	-0.932242683360656	-0.863351898886885	-0.912524813442623	-0.135233083035246	0.0711210044155738	0.0951869051404918	-0.928945093606557	-0.902790947295082	-0.959682508360656	-0.924904995983607	-0.897360647844262	-0.968366408360656	0.117030536935574	-0.132727538036885	-0.0457849978442623	-0.894557317213115	-0.937369459754098	-0.918846861557377	-0.910838520163934	-0.920989555245902	-0.928164703032787	-0.148842488977049	-0.390653819073771	-0.0574144621977049	-0.908107085901639	-0.917769777622951	0.127238078975328	-0.916465287459016	-0.91642672295082	0.186071592317213	-0.915517633278689	-0.89389063204918	-0.24627127232459	-0.955253271311475	-0.957247799180328	0.103998441758197
"10"	"WALKING"	"3"	0.275868309741379	-0.0214182094568448	-0.11134223112931	-0.40335806562931	-0.217591586292241	-0.477618028534483	0.9428872925	-0.216220721896552	-0.0136196463362069	-0.974505009482759	-0.95302173362069	-0.940470108706897	0.0759894132019828	0.0132247372448276	0.00162329147767241	-0.411969549137931	-0.277774698997414	-0.665445504137931	-0.00294300076810345	-0.0808241660922414	0.0877742544758621	-0.589064529137931	-0.634062539568966	-0.509949206982759	-0.10677476499569	-0.0390412632758621	-0.0610258772511207	-0.527791369827586	-0.761082859741379	-0.608735228534483	-0.333800293568966	-0.387250726646552	-0.333800293568966	-0.387250726646552	-0.4304445325	-0.366774141197414	-0.490151756293103	-0.595209419224138	-0.671664621810345	-0.693574170517241	-0.409029112146552	-0.240278108108621	-0.53558601862069	-0.403069463782328	-0.2566164971	-0.489369929051724	-0.292625779426724	0.0698141579818966	-0.0119810422440517	-0.440635268831897	-0.332177120594828	-0.644314208965517	-0.434892361689655	-0.267959500604397	-0.685720850258621	-0.222706508068966	-0.258706745396552	-0.27712659462069	-0.493937285862069	-0.669287716034483	-0.478158770431034	-0.620754944827586	-0.619519000431034	-0.567451997586207	-0.066258710737069	-0.224352959337069	-0.0809482595198276	-0.384091508215517	-0.486288166206897	0.0523114432915517	-0.375607933344828	-0.36347221830569	-0.000357421191379309	-0.625775112413793	-0.645369407672414	0.0264789955818966	-0.708673841637931	-0.698450498362069	0.108777451184914
